NRAXES,MAXTEU,CALLCODE,WAGTYPE,WPOS,WAGON,UNNR,UNKLASSE,UNITWEIGHTNETT,UNITTYPE,UNITSEQUENCE,TRACK,TEUS,TERMINALWEIGHTNETT,TARE,SIZEFT,STARTPOSITION,SEQ,PAYLOAD,MOVETYPE,LOCATION,LEN,CONTAINERTARRA,CONTAINERNUMBER,COMPOUNDPOS,MAXTRAVELDISTANCE,TRAINSPLIT,TRAINREVERSED,MaxTrainWeight Value,WeightPerc Threshold Value,HideUnplacedContainers Value,LengthPerc Threshold Value
,,CTTROT20210330POL,,,,,,23800,45PW,3073005,,2.25,,,,,368303,,lader,CTTROT,,4400,PVDU 113132 4,,142,7,False,1600,0.674,False,0.547
,,CTTROT20210330POL,,,,,,23848,45PW,3072999,,2.25,23848,,,,368303,,lader,CTTROT,,4400,EUCU 455164 1,BIN,142,7,False,1600,0.674,False,0.547
,,CTTROT20210330POL,,,,,,23896,45PW,3073001,,2.25,,,,,368303,,lader,CTTROT,,4400,EUCU 458399 4,,142,7,False,1600,0.674,False,0.547
,,CTTROT20210330POL,,,,,,24000,22TK,3072978,,1.1,,,,,368303,,lader,CTTROT,,4800,DHIU 204620 3,,142,7,False,1600,0.674,False,0.547
,,CTTROT20210330POL,,,,,,24000,26TK,3072983,,1.3,,,,,368303,,lader,CTTROT,,4800,DHIU 194674 6,,142,7,False,1600,0.674,False,0.547
,,CTTROT20210330POL,,,,,,24000,26TK,3072987,,1.3,,,,,368303,,lader,CTTROT,,4800,TWSU 971059 0,,142,7,False,1600,0.674,False,0.547
,,CTTROT20210330POL,,,,,,24080,20TK,3072970,,1,,,,,368303,,lader,CTTROT,,4000,BTLU 269017 2,,142,7,False,1600,0.674,False,0.547
,,CTTROT20210330POL,,,,,,24370,30BU,3072990,,1.5,25240,,,,368303,,lader,CTTROT,,3300,UBBU 116095 2,BIN,142,7,False,1600,0.674,False,0.547
,,CTTROT20210330POL,,,,,,24747,45OS,3073006,,2.25,,,,,368303,,lader,CTTROT,,4500,LYSU 545288 9,,142,7,False,1600,0.674,False,0.547
,,CTTROT20210330POL,,,,,,24800,30BU,3072988,,1.5,,,,,368303,,lader,CTTROT,,3300,BUKU 460568 3,,142,7,False,1600,0.674,False,0.547
,,CTTROT20210330POL,,,,,,24860,20TK,3072969,,1,,,,,368303,,lader,CTTROT,,4000,,,142,7,False,1600,0.674,False,0.547
,,CTTROT20210330POL,,,,,,25000,20TK,3072965,,1,,,,,368303,,lader,CTTROT,,4000,FOTU 742661 2,,142,7,False,1600,0.674,False,0.547
,,CTTROT20210330POL,,,,,,25000,26TK,3072980,,1.3,,,,,368303,,lader,CTTROT,,4800,FOTU 843310 7,,142,7,False,1600,0.674,False,0.547
,,CTTROT20210330POL,,,,,,25000,30BU,3072992,,1.5,25000,,,,368303,,lader,CTTROT,,3300,UBBU 655002 2,BIN,142,7,False,1600,0.674,False,0.547
,,CTTROT20210330POL,,,,,,25020,30BU,3072993,,1.5,25020,,,,368303,,lader,CTTROT,,3300,DHBU 318476 8,BIN,142,7,False,1600,0.674,False,0.547
