"SEQ","MOVEDATE","COMPOUNDPOS_FROM","COMPOUNDPOS_TO","UNITNR","LOCATION","SEQ","UNITTYPE","ADDRESS_CLIENT","MOVETYPE"
4120932,2021-02-05 15:44:00,,TRUCK,ABEU 263260 6,CTTROT,1861651,"20TK",$BOSCER,Rotzooi
4120945,2021-02-05 15:49:00,TRUCK,"36.09.3",ABEU 263260 6,CTTROT,1861651,"20TK",$BOSCER,Gate in truck
4119364,2021-02-05 08:12:00,"26.05.2","25.05.2",ABEU 263300 6,CTTROT,1845163,"20TK",$BOSCER,InternalMoveLocations
4120098,2021-02-05 11:35:00,"25.05.2","23.05.1",ABEU 263300 6,CTTROT,1845163,"20TK",$BOSCER,InternalMoveLocations
4116039,2021-02-03 17:10:00,"35.05.2","36.05.1",ABEU 263314 0,CTTROT,1851443,"20TK",$BOSCER,InternalMoveLocations
4121993,2021-02-06 10:31:00,,TIN,ABEU 290005 7,CTTROT,1861870,"24TK",$BOSCER,Rotzooi
4122260,2021-02-06 14:25:00,TIN,"41.01.1",ABEU 290005 7,CTTROT,1861870,"24TK",$BOSCER,Gate in train
4123454,2021-02-08 10:11:00,"41.01.1","38.03.1",ABEU 290005 7,CTTROT,1861870,"24TK",$BOSCER,InternalMoveLocations
4123460,2021-02-08 10:12:00,"38.03.1","40.01.1",ABEU 290005 7,CTTROT,1861870,"24TK",$BOSCER,InternalMoveLocations
4123475,2021-02-08 10:19:00,"40.01.1",,ABEU 290005 7,CTTROT,1861870,"24TK",$BOSCER,Rotzooi
4116569,2021-02-04 06:55:00,"03.05.1","02.06.1",ABEU 303109 2,CTTROT,1845880,"25TK",$BOSCER,InternalMoveLocations
4118517,2021-02-04 17:22:00,"02.06.1","05.03.2",ABEU 303109 2,CTTROT,1845880,"25TK",$BOSCER,InternalMoveLocations
4116743,2021-02-04 07:58:00,"03.01.1","03.06.2",ABEU 322552 3,CTTROT,1857247,"24TK",$BOSCER,InternalMoveLocations
4118500,2021-02-04 17:18:00,"03.06.2","05.03.1",ABEU 322552 3,CTTROT,1857247,"24TK",$BOSCER,InternalMoveLocations
4119280,2021-02-05 07:39:00,,TRUCK,ABEU 322577 6,CTTROT,1861186,"26TK",$BOSCER,Rotzooi
4119303,2021-02-05 07:49:00,TRUCK,"41.12.1",ABEU 322577 6,CTTROT,1861186,"26TK",$BOSCER,Gate in truck
4120739,2021-02-05 14:52:00,"41.12.1","43.12.2",ABEU 322577 6,CTTROT,1861186,"26TK",$BOSCER,InternalMoveLocations
4121030,2021-02-05 16:09:00,"43.12.2","44.12.2",ABEU 322577 6,CTTROT,1861186,"26TK",$BOSCER,InternalMoveLocations
4121304,2021-02-05 18:09:00,"44.12.2","41.12.1",ABEU 322577 6,CTTROT,1861186,"26TK",$BOSCER,InternalMoveLocations
4121306,2021-02-05 18:10:00,"41.12.1","37.11.1",ABEU 322577 6,CTTROT,1861186,"26TK",$BOSCER,InternalMoveLocations
4121350,2021-02-05 18:19:00,"37.11.1",,ABEU 322577 6,CTTROT,1861186,"26TK",$BOSCER,Rotzooi
4116185,2021-02-03 18:27:00,"46.01.1",TOUT,ABEU 343160 6,CTTROT,1858768,"24TK",$BOSCER,Gate out train
4116397,2021-02-03 22:03:00,TOUT,,ABEU 343160 6,CTTROT,1858768,"24TK",$BOSCER,Rotzooi
4116932,2021-02-04 08:48:00,,TRUCK,ABEU 343332 1,CTTROT,1860610,"26TK",$BOSCER,Rotzooi
4116944,2021-02-04 08:54:00,TRUCK,"41.13.2",ABEU 343332 1,CTTROT,1860610,"26TK",$BOSCER,Gate in truck
4118475,2021-02-04 17:11:00,"41.13.2",,ABEU 343332 1,CTTROT,1860610,"26TK",$BOSCER,Rotzooi
4116310,2021-02-03 20:12:00,"35.02.1",TOUT,ABEU 350005 5,CTTROT,1859305,"26TK",$BOSCER,Gate out train
4116460,2021-02-03 22:34:00,TOUT,,ABEU 350005 5,CTTROT,1859305,"26TK",$BOSCER,Rotzooi
4121994,2021-02-06 10:31:00,,TIN,ABEU 350006 0,CTTROT,1861871,"24TK",$BOSCER,Rotzooi
4122252,2021-02-06 14:16:00,TIN,"47.01.1",ABEU 350006 0,CTTROT,1861871,"24TK",$BOSCER,Gate in train
4122254,2021-02-06 14:17:00,"47.01.1","40.01.1",ABEU 350006 0,CTTROT,1861871,"24TK",$BOSCER,InternalMoveLocations
4123456,2021-02-08 10:12:00,"40.01.1","41.01.1",ABEU 350006 0,CTTROT,1861871,"24TK",$BOSCER,InternalMoveLocations
4121347,2021-02-05 18:19:00,,TIN,ABEU 350009 7,CTTROT,1861754,"26TK",$BOSCER,Rotzooi
4121505,2021-02-05 19:56:00,TIN,"41.06.1",ABEU 350009 7,CTTROT,1861754,"26TK",$BOSCER,Gate in train
4121513,2021-02-05 19:58:00,"41.06.1","49.14.1",ABEU 350009 7,CTTROT,1861754,"26TK",$BOSCER,InternalMoveLocations
4124164,2021-02-08 16:25:00,"49.14.1",,ABEU 350009 7,CTTROT,1861754,"26TK",$BOSCER,Rotzooi
4114633,2021-02-03 08:33:00,,TIN,ABEU 580068 4,CTTROT,1860032,"40BU",$BOSCER,Rotzooi
4114852,2021-02-03 09:35:00,TIN,"33.03.1",ABEU 580068 4,CTTROT,1860032,"40BU",$BOSCER,Gate in train
4115451,2021-02-03 13:25:00,"33.03.1",,ABEU 580068 4,CTTROT,1860032,"40BU",$BOSCER,Rotzooi
4114434,2021-02-03 07:37:00,"35.03.1","39.03.2",ABEU 580199 4,CTTROT,1858517,"40BU",$BOSCER,InternalMoveLocations
4121297,2021-02-05 18:00:00,"39.03.2",,ABEU 580199 4,CTTROT,1858517,"40BU",$BOSCER,Rotzooi
4117213,2021-02-04 10:56:00,,TIN,ABEU 580211 5,CTTROT,1860679,"40BU",$BOSCER,Rotzooi
4117288,2021-02-04 11:20:00,TIN,"37.03.1",ABEU 580211 5,CTTROT,1860679,"40BU",$BOSCER,Gate in train
4122801,2021-02-07 13:17:00,"37.03.1","39.03.2",ABEU 580211 5,CTTROT,1860679,"40BU",$BOSCER,InternalMoveLocations
4123161,2021-02-08 07:58:00,,TRUCK,ABEU 590011 1,CTTROT,1862157,"30BU",$BOSCER,Rotzooi
4123172,2021-02-08 08:08:00,TRUCK,"20.06.1",ABEU 590011 1,CTTROT,1862157,"30BU",$BOSCER,Gate in truck
4123180,2021-02-08 08:12:00,"20.06.1","12.01.1",ABEU 590011 1,CTTROT,1862157,"30BU",$BOSCER,InternalMoveLocations
4124593,2021-02-09 06:29:00,"12.01.1","08.02.1",ABEU 590011 1,CTTROT,1862157,"30BU",$BOSCER,InternalMoveLocations
4124598,2021-02-09 06:35:00,"08.02.1","11.01.1",ABEU 590011 1,CTTROT,1862157,"30BU",$BOSCER,InternalMoveLocations
4115214,2021-02-03 11:34:00,,TRUCK,ABEU 590168 0,CTTROT,1860239,"30BU",$BOSCER,Rotzooi
4115233,2021-02-03 11:42:00,TRUCK,"32.06.3",ABEU 590168 0,CTTROT,1860239,"30BU",$BOSCER,Gate in truck
4115258,2021-02-03 11:55:00,"32.06.3","47.01.1",ABEU 590168 0,CTTROT,1860239,"30BU",$BOSCER,InternalMoveLocations
4118155,2021-02-04 15:52:00,"47.01.1",TOUT,ABEU 590168 0,CTTROT,1860239,"30BU",$BOSCER,Gate out train
4119065,2021-02-04 20:38:00,TOUT,,ABEU 590168 0,CTTROT,1860239,"30BU",$BOSCER,Rotzooi
4120242,2021-02-05 12:31:00,,TRUCK,ALLU 243492 9,CTTROT,1861474,"20DV",$PCCGDY,Rotzooi
4120258,2021-02-05 12:36:00,TRUCK,"42.02.2",ALLU 243492 9,CTTROT,1861474,"20DV",$PCCGDY,Gate in truck
4121063,2021-02-05 16:22:00,"42.02.2","12.01.2",ALLU 243492 9,CTTROT,1861474,"20DV",$PCCGDY,InternalMoveLocations
4121103,2021-02-05 16:46:00,"12.01.2",TOUT,ALLU 243492 9,CTTROT,1861474,"20DV",$PCCGDY,Gate out train
4121700,2021-02-05 21:28:00,TOUT,,ALLU 243492 9,CTTROT,1861474,"20DV",$PCCGDY,Rotzooi
4117506,2021-02-04 12:40:00,,TRUCK,ALLU 281881 6,CTTROT,1860809,"20DV",$PCCGDY,Rotzooi
4117546,2021-02-04 12:49:00,TRUCK,"37.02.1",ALLU 281881 6,CTTROT,1860809,"20DV",$PCCGDY,Gate in truck
4121707,2021-02-05 21:30:00,"37.02.1",TOUT,ALLU 281881 6,CTTROT,1860809,"20DV",$PCCGDY,Gate out train
4121798,2021-02-05 23:19:00,TOUT,,ALLU 281881 6,CTTROT,1860809,"20DV",$PCCGDY,Rotzooi
4120569,2021-02-05 13:58:00,,TRUCK,ALLU 343702 8,CTTROT,1861571,"20DV",$PCCGDY,Rotzooi
4120598,2021-02-05 14:03:00,TRUCK,"31.06.2",ALLU 343702 8,CTTROT,1861571,"20DV",$PCCGDY,Gate in truck
4121460,2021-02-05 19:20:00,"31.06.2","19.05.2",ALLU 343702 8,CTTROT,1861571,"20DV",$PCCGDY,InternalMoveLocations
4121463,2021-02-05 19:23:00,"19.05.2",TOUT,ALLU 343702 8,CTTROT,1861571,"20DV",$PCCGDY,Gate out train
4121701,2021-02-05 21:29:00,TOUT,,ALLU 343702 8,CTTROT,1861571,"20DV",$PCCGDY,Rotzooi
4118450,2021-02-04 17:05:00,,TRUCK,ALLU 376746 2,CTTROT,1861056,"20DV",$PCCGDY,Rotzooi
4118496,2021-02-04 17:16:00,TRUCK,"16.02.3",ALLU 376746 2,CTTROT,1861056,"20DV",$PCCGDY,Gate in truck
4121631,2021-02-05 21:18:00,"16.02.3","16.03.2",ALLU 376746 2,CTTROT,1861056,"20DV",$PCCGDY,InternalMoveLocations
4122305,2021-02-06 15:16:00,"16.03.2",TOUT,ALLU 376746 2,CTTROT,1861056,"20DV",$PCCGDY,Gate out train
