NRAXES,MAXTEU,CALLCODE,WAGTYPE,WPOS,WAGON,UNNR,UNKLASSE,UNITWEIGHTNETT,UNITTYPE,UNITSEQUENCE,TRACK,TEUS,TERMINALWEIGHTNETT,TARE,SIZEFT,STARTPOSITION,SEQ,PAYLOAD,MOVETYPE,LOCATION,LEN,CONTAINERTARRA,CONTAINERNUMBER,COMPOUNDPOS,PRIOCONTAINER,PRIORITY,TravelDistance Value,Train Split Value,Reversed Value
,,CTTROT20210210POL,,,,,,19476,45PW,2945131,,2.25,,,,,366266,,lader,CTTROT,,4400,EUCU 453083 9,,,,221,11,1
,,CTTROT20210210POL,,,,,,20500,20DV,2944344,,1,,,,,366266,,lader,CTTROT,,2300,HLBU 230397 3,,,,221,11,1
,,CTTROT20210210POL,,,,,,20500,20DV,2944345,,1,,,,,366266,,lader,CTTROT,,2300,HLBU 275505 8,,,,221,11,1
,,CTTROT20210210POL,,,,,,20500,40DV,2944376,,2,,,,,366266,,lader,CTTROT,,4000,HLXU 637711 7,,,,221,11,1
,,CTTROT20210210POL,,,,,,20711,45PW,2944794,,2.25,,,,,366266,,lader,CTTROT,,4400,TLLU 165014 1,,,,221,11,1
,,CTTROT20210210POL,,,,,,20791,45PW,2944799,,2.25,,,,,366266,,lader,CTTROT,,4400,TLLU 164910 9,,,,221,11,1
,,CTTROT20210210POL,,,,,,20920,45PW,2944796,,2.25,,,,,366266,,lader,CTTROT,,4400,SANU 752958 8,,,,221,11,1
,,CTTROT20210210POL,,,,,,21251,45PW,2945108,,2.25,,,,,366266,,lader,CTTROT,,4400,SANU 799044 0,,,,221,11,1
,,CTTROT20210210POL,,,,,,21400,45PW,2945137,,2.25,,,,,366266,,lader,CTTROT,,4400,EUCU 454216 7,,,,221,11,1
,,CTTROT20210210POL,,,,,,22000,20TK,2945060,,1,,,,,366266,,lader,CTTROT,,4000,PCVU 260165 9,,,,221,11,1
,,CTTROT20210210POL,,,,,,22520,30TK,2945100,,1.5,,,,,366266,,lader,CTTROT,,2800,HUKU 311440 1,,,,221,11,1
,,CTTROT20210210POL,,,,,,22600,45OS,2945122,,2.25,,,,,366266,,lader,CTTROT,,4500,NFLU 203485 7,,,,221,11,1
,,CTTROT20210210POL,,,,,,22680,20DV,2945070,,1,,,,,366266,,lader,CTTROT,,2300,ICUU 214140 9,,,,221,11,1
,,CTTROT20210210POL,,,,,,22720,20DV,2945071,,1,,,,,366266,,lader,CTTROT,,2300,ICUU 214319 2,,,,221,11,1
,,CTTROT20210210POL,,,,,,23000,20TK,2944736,,1,0,,,,366266,,lader,CTTROT,,4000,PCVU 288031 6,38.10.2,,,221,11,1
,,CTTROT20210210POL,,,,,,23000,20TK,2948344,,1,,,,,366266,,lader,CTTROT,,4000,PCCU 272001 3,,,,221,11,1
,,CTTROT20210210POL,,,,,,23980,22TK,2948354,,1.1,,,,,366266,,lader,CTTROT,,4800,DHIU 877207 6,,,,221,11,1
,,CTTROT20210210POL,,,,,,24000,20TK,2945061,,1,,,,,366266,,lader,CTTROT,,4000,PCVU 288007 0,,,,221,11,1
,,CTTROT20210210POL,,,,,,24000,20TK,2945065,,1,,,,,366266,,lader,CTTROT,,4000,ABEU 252369 4,,,,221,11,1
,,CTTROT20210210POL,,,,,,24000,20TK,2945069,,1,,,,,366266,,lader,CTTROT,,4000,GCAU 795003 0,,,,221,11,1
,,CTTROT20210210POL,,,,,,24000,20TK,2948346,,1,,,,,366266,,lader,CTTROT,,4000,BIDU 491131 8,,,,221,11,1
,,CTTROT20210210POL,,,,,,24000,20TK,2948350,,1,,,,,366266,,lader,CTTROT,,4000,PCVU 288012 6,,,,221,11,1
,,CTTROT20210210POL,,,,,,24000,22TK,2945086,,1.1,,,,,366266,,lader,CTTROT,,4800,PCVU 310087 8,,,,221,11,1
,,CTTROT20210210POL,,,,,,24000,26TK,2945090,,1.3,,,,,366266,,lader,CTTROT,,4800,ABEU 350009 7,,,,221,11,1
,,CTTROT20210210POL,,,,,,24000,45PW,2945115,,2.25,,,,,366266,,lader,CTTROT,,4400,CNEU 459485 7,,,,221,11,1
,,CTTROT20210210POL,,,,,,24090,20TK,2944743,,1,0,,,,366266,,lader,CTTROT,,4000,PCVU 260353 8,12.06.1,,,221,11,1
,,CTTROT20210210POL,,,,,,25000,20TK,2948338,,1,,,,,366266,,lader,CTTROT,,4000,NWBU 010524 1,,,,221,11,1
,,CTTROT20210210POL,,,,,,25000,20TK,2948343,,1,,,,,366266,,lader,CTTROT,,4000,PCVU 260008 2,,,,221,11,1
,,CTTROT20210210POL,,,,,,25500,25TK,2945098,,1.25,,,,,366266,,lader,CTTROT,,4800,EXFU 879786 3,,,,221,11,1
,,CTTROT20210210POL,,,,,,25520,20TK,2948339,,1,,,,,366266,,lader,CTTROT,,4000,SEGU 813533 6,,,,221,11,1
,,CTTROT20210210POL,,,,,,25520,20TK,2948340,,1,,,,,366266,,lader,CTTROT,,4000,SEGU 813534 1,,,,221,11,1
,,CTTROT20210210POL,,,,,,25520,20TK,2948341,,1,,,,,366266,,lader,CTTROT,,4000,SEGU 813535 7,,,,221,11,1
,,CTTROT20210210POL,,,,,,26000,26TK,2945088,,1.3,,,,,366266,,lader,CTTROT,,4800,EXFU 878921 4,,,,221,11,1
,,CTTROT20210210POL,,,,,,26100,20DV,2945072,,1,0,,,,366266,,lader,CTTROT,,2300,TDTU 132038 0,STOP5,,,221,11,1
,,CTTROT20210210POL,,,,,,26100,20DV,2945073,,1,,,,,366266,,lader,CTTROT,,2300,TDTU 405132 4,,,,221,11,1
,,CTTROT20210210POL,,,,,,26100,20DV,2945075,,1,,,,,366266,,lader,CTTROT,,2300,TCLU 071905 5,,,,221,11,1
,,CTTROT20210210POL,,,,,,26100,20DV,2945077,,1,,,,,366266,,lader,CTTROT,,2300,TCLU 193375 5,,,,221,11,1
,,CTTROT20210210POL,,,,,,26100,20DV,2945079,,1,,,,,366266,,lader,CTTROT,,2300,TTNU 152487 0,,,,221,11,1
,,CTTROT20210210POL,,,,,,26100,20DV,2945081,,1,,,,,366266,,lader,CTTROT,,2300,TDTU 171088 1,,,,221,11,1
,,CTTROT20210210POL,,,,,,26100,20DV,2945083,,1,,,,,366266,,lader,CTTROT,,2300,TCKU 329054 2,,,,221,11,1
,,CTTROT20210210POL,,,,,,26100,20DV,2948351,,1,,,,,366266,,lader,CTTROT,,2300,TDTU 058258 0,,,,221,11,1
,,CTTROT20210210POL,,,,,,26100,20DV,2948352,,1,,,,,366266,,lader,CTTROT,,2300,IPXU 373342 3,,,,221,11,1
,,CTTROT20210210POL,,,,,,26380,30BU,2945104,,1.5,,,,,366266,,lader,CTTROT,,3300,DHBU 317212 9,,,,221,11,1
,,CTTROT20210210POL,,,,,,27000,20TK,2945059,,1,,,,,366266,,lader,CTTROT,,4000,PCVU 288030 0,,,,221,11,1
,,CTTROT20210210POL,,,,,,27000,20TK,2945062,,1,0,,,,366266,,lader,CTTROT,,4000,PCVU 288038 4,35.11.1,,,221,11,1
,,CTTROT20210210POL,,,,,,27000,20TK,2948333,,1,,,,,366266,,lader,CTTROT,,4000,NWBU 010520 0,,,,221,11,1
,,CTTROT20210210POL,,,,,,27000,20TK,2948334,,1,,,,,366266,,lader,CTTROT,,4000,NWBU 990500 8,,,,221,11,1
,,CTTROT20210210POL,,,,,,27000,20TK,2948337,,1,,,,,366266,,lader,CTTROT,,4000,DHIU 184131 8,,,,221,11,1
,,CTTROT20210210POL,,,,,,27000,22TK,2945087,,1.1,,,,,366266,,lader,CTTROT,,4800,TWSU 271862 3,,,,221,11,1
,,CTTROT20210210POL,,,,,,27000,26TK,2945092,,1.3,,,,,366266,,lader,CTTROT,,4800,PCVU 350017 5,,,,221,11,1
,,CTTROT20210210POL,,,,,,27000,26TK,2945094,,1.3,0,,,,366266,,lader,CTTROT,,4800,TANU 351115 4,50.14.2,,,221,11,1
,,CTTROT20210210POL,,,,,,27000,26TK,2945096,,1.3,,,,,366266,,lader,CTTROT,,4800,PCCU 352602 3,,,,221,11,1
,,CTTROT20210210POL,,,,,,27000,40BU,2945371,,2,,,,,366266,,lader,CTTROT,,3000,RSTU 854066 0,,,,221,11,1
,,CTTROT20210210POL,,,,,,27500,30BU,2945102,,1.5,,,,,366266,,lader,CTTROT,,3300,ABEU 590011 1,,,,221,11,1
,,CTTROT20210210POL,,,,,,28000,20TK,2948336,,1,,,,,366266,,lader,CTTROT,,4000,KRIU 226007 9,,,,221,11,1
,,CTTROT20210210POL,,,,,,28000,20TK,2948342,,1,,,,,366266,,lader,CTTROT,,4000,BIDU 497390 0,,,,221,11,1
,,CTTROT20210210POL,,,,,,28000,20TK,2948345,,1,,,,,366266,,lader,CTTROT,,4000,BIDU 491501 5,,,,221,11,1
,,CTTROT20210210POL,,,,,,28000,20TK,2948348,,1,,,,,366266,,lader,CTTROT,,4000,BIDU 492646 8,,,,221,11,1
,,CTTROT20210210POL,,,,,,28000,26TK,2945089,,1.3,,,,,366266,,lader,CTTROT,,4800,RTMU 351001 6,,,,221,11,1
,,CTTROT20210210POL,SGGNS,6,37804963044-5,,,,,,,,,,,,366266,,,,,,,,,,221,11,1
,,CTTROT20210210POL,SGGNS,13,33884961070-8,,,,,,,,,,,,366266,,,,,,,,,,221,11,1
,,CTTROT20210210POL,SGGRSS,4,37804850098-7,,,,,,,,,,,,366266,,,,,,,,,,221,11,1
,,CTTROT20210211POL,,,,,,,,2948568,,,,,,,366295,,,,,,,,PCVU 260132 4,1,221,11,1
,,CTTROT20210211POL,,,,,,,,2948569,,,,,,,366295,,,,,,,,NWBU 990514 2,1,221,11,1
,,CTTROT20210211POL,,,,,,,,2948571,,,,,,,366295,,,,,,,,NWBU 990510 0,1,221,11,1
,,CTTROT20210211POL,,,,,,,,2948574,,,,,,,366295,,,,,,,,NWBU 082670 0,1,221,11,1
,,CTTROT20210211POL,,,,,,,,2948576,,,,,,,366295,,,,,,,,PCVU 260063 1,1,221,11,1
,,CTTROT20210211POL,,,,,,,,2948578,,,,,,,366295,,,,,,,,PCVU 260062 6,1,221,11,1
,,CTTROT20210211POL,,,,,,,,2948581,,,,,,,366295,,,,,,,,AAMU 260837 9,1,221,11,1
,,CTTROT20210211POL,,,,,,,,2948584,,,,,,,366295,,,,,,,,TDTU 062354 5,1,221,11,1
,,CTTROT20210211POL,,,,,,,,2948585,,,,,,,366295,,,,,,,,CAXU 695598 4,1,221,11,1
,,CTTROT20210211POL,,,,,,,,2948586,,,,,,,366295,,,,,,,,TDTU 296567 6,1,221,11,1
,,CTTROT20210211POL,,,,,,,,2948587,,,,,,,366295,,,,,,,,TRLU 385919 4,1,221,11,1
,,CTTROT20210211POL,,,,,,,,2948588,,,,,,,366295,,,,,,,,TDTU 793967 0,1,221,11,1
,,CTTROT20210211POL,,,,,,,,2948589,,,,,,,366295,,,,,,,,TCLU 192646 3,1,221,11,1
,,CTTROT20210211POL,,,,,,,,2948590,,,,,,,366295,,,,,,,,TCLU 239224 9,1,221,11,1
,,CTTROT20210211POL,,,,,,,,2948591,,,,,,,366295,,,,,,,,CAIU 230649 7,1,221,11,1
,,CTTROT20210211POL,,,,,,,,2948592,,,,,,,366295,,,,,,,,TCLU 354757 7,1,221,11,1
,,CTTROT20210211POL,,,,,,,,2948594,,,,,,,366295,,,,,,,,CAXU 688651 7,1,221,11,1
,,CTTROT20210211POL,,,,,,,,2948596,,,,,,,366295,,,,,,,,BIDU 491237 7,1,221,11,1
,,CTTROT20210211POL,,,,,,,,2948597,,,,,,,366295,,,,,,,,ZTKU 730262 0,1,221,11,1
,,CTTROT20210211POL,,,,,,,,2948598,,,,,,,366295,,,,,,,,EXFU 879670 1,1,221,11,1
,,CTTROT20210211POL,,,,,,,,2948599,,,,,,,366295,,,,,,,,ZTKU 730241 9,1,221,11,1
,,CTTROT20210211POL,,,,,,,,2948600,,,,,,,366295,,,,,,,,TWSU 271861 8,1,221,11,1
