NRAXES,MAXTEU,CALLCODE,WAGTYPE,WPOS,WAGON,UNNR,UNKLASSE,UNITWEIGHTNETT,UNITTYPE,UNITSEQUENCE,TRACK,TEUS,TERMINALWEIGHTNETT,TARE,SIZEFT,STARTPOSITION,SEQ,PAYLOAD,MOVETYPE,LOCATION,LEN,CONTAINERTARRA,CONTAINERNUMBER,COMPOUNDPOS,MAXTRAVELDISTANCE,TRAINSPLIT,TRAINREVERSED,MaxTrainWeightValue,WeightPercThresholdValue,HideUnplacedContainersValue,LengthPercThresholdValue
4,,CTTROT20210408POL,SGNS,5,31804557174-8,,,,,,,,,20000,60,,368696,60000,,,19.63999939,,,,60,13,False,1600,0.9,False,1
4,,CTTROT20210408POL,SGNS,16,37804557212-0,,,,,,,,,20000,60,,368696,60000,,,19.63999939,,,,60,13,False,1600,0.9,False,1
4,,CTTROT20210408POL,SGNS,22,37804558159-2,,,,,,,,,20000,60,,368696,60000,,,19.63999939,,,,60,13,False,1600,0.9,False,1
4,,CTTROT20210408POL,Sgns60,2,37804557994-3,,,,,,,,,20000,60,,368696,70000,,,19.63999939,,,,60,13,False,1600,0.9,False,1
4,,CTTROT20210408POL,Sgns60,8,33684557015-7,,,,,,,,,20000,60,,368696,72000,,,19.63999939,,,,60,13,False,1600,0.9,False,1
4,,CTTROT20210408POL,Sgns60,13,31804557032-8,,,,,,,,,20000,60,,368696,72000,,,19.63999939,,,,60,13,False,1600,0.9,False,1
4,,CTTROT20210408POL,Sgns60,24,33684556213-9,,,,,,,,,20000,60,,368696,70000,,,19.63999939,,,,60,13,False,1600,0.9,False,1
4,,CTTROT20210408POL,SGNSS,6,37804557049-6,,,,,,,,,20000,60,,368696,70000,,,19.63999939,,,,60,13,False,1600,0.9,False,1
4,,CTTROT20210408POL,SGNSS,18,37804558111-3,,,,,,,,,20000,60,,368696,70000,,,19.63999939,,,,60,13,False,1600,0.9,False,1
4,,CTTROT20210408POL,SGNSS,21,37804558117-0,,,,,,,,,20000,60,,368696,70000,,,19.63999939,,,,60,13,False,1600,0.9,False,1
4,,CTTROT20210408POL,SGNSS,23,33684556220-4,,,,,,,,,20000,60,,368696,70000,,,19.63999939,,,,60,13,False,1600,0.9,False,1
6,,CTTROT20210408POL,SGGMRS,7,33684954286-3,,,,,,,,,29000,90,,368696,91000,,,29.59000015,,,,60,13,False,1600,0.9,False,1
6,,CTTROT20210408POL,SGGMRS,20,37804953045-4,,,,,,,,,29000,90,,368696,94000,,,29.59000015,,,,60,13,False,1600,0.9,False,1
6,,CTTROT20210408POL,Sggmrss,1,33884962545-8,,,,,,,,,26760,90,,368696,108200,,,29.59000015,,,,60,13,False,1600,0.9,False,1
6,,CTTROT20210408POL,Sggmrss,3,33884961159-9,,,,,,,,,27200,90,,368696,107600,,,29.59000015,,,,60,13,False,1600,0.9,False,1
6,,CTTROT20210408POL,Sggmrss,9,33884961410-6,,,,,,,,,27340,90,,368696,107600,,,29.59000015,,,,60,13,False,1600,0.9,False,1
6,,CTTROT20210408POL,Sggmrss,10,33884961417-1,,,,,,,,,27300,90,,368696,108000,,,29.59000015,,,,60,13,False,1600,0.9,False,1
6,,CTTROT20210408POL,Sggmrss,11,33884961369-4,,,,,,,,,27300,90,,368696,108000,,,29.59000015,,,,60,13,False,1600,0.9,False,1
6,,CTTROT20210408POL,Sggmrss,12,33884961350-4,,,,,,,,,27500,90,,368696,107500,,,29.59000015,,,,60,13,False,1600,0.9,False,1
6,,CTTROT20210408POL,Sggmrss,14,33884962426-1,,,,,,,,,26940,90,,368696,108000,,,29.59000015,,,,60,13,False,1600,0.9,False,1
6,,CTTROT20210408POL,Sggmrss,15,33884961563-2,,,,,,,,,27300,90,,368696,108000,,,29.59000015,,,,60,13,False,1600,0.9,False,1
6,4,CTTROT20210408POL,SGGRSS,19,37804850098-7,,,,,,,,,28000,80,,368696,107000,,,26.70000076,,,,60,13,False,1600,0.9,False,1
6,4.5,CTTROT20210408POL,SGGNS,17,37804963044-5,,,,,,,,,28400,90,,368696,106600,,,29.59000015,,,,60,13,False,1600,0.9,False,1
