NRAXES,MAXTEU,CALLCODE,WAGTYPE,WPOS,WAGON,UNNR,UNKLASSE,UNITWEIGHTNETT,UNITTYPE,UNITSEQUENCE,TRACK,TEUS,TERMINALWEIGHTNETT,TARE,SIZEFT,STARTPOSITION,SEQ,PAYLOAD,MOVETYPE,LOCATION,LEN,CONTAINERTARRA,CONTAINERNUMBER,COMPOUNDPOS,MAXTRAVELDISTANCE,TRAINSPLIT,TRAINREVERSED,MaxTrainWeight,WeightPerc,HideUnplacedContainers,LengthPerc
4,3,CTTROT20210330POL,SGNS,12,37804558982-7,,,,,,,,,19800,60,,368303,72000,,,19.399999618530273,,,,13,11,False,1600,0.674,False,0.547
4,3,CTTROT20210330POL,SGNSS,24,33684558702-9,,,,,,,,,19200,60,,368303,72000,,,19.639999389648438,,,,13,11,False,1600,0.674,False,0.547
6,,CTTROT20210330POL,SGGMRS,2,33684953215-3,,,,,,,,,29000,90,,368303,94000,,,29.590000152587891,,,,13,11,False,1600,0.674,False,0.547
6,,CTTROT20210330POL,SGGMRS,11,37804952303-8,,,,,,,,,29000,90,,368303,94000,,,29.590000152587891,,,,13,11,False,1600,0.674,False,0.547
6,,CTTROT20210330POL,Sggmrs90,1,37804952318-6,,,,,,,,,29000,90,,368303,94000,,,29.590000152587891,,,,13,11,False,1600,0.674,False,0.547
6,,CTTROT20210330POL,Sggmrs90,3,37804954060-2,,,,,,,,,29000,90,,368303,94000,,,29.590000152587891,,,,13,11,False,1600,0.674,False,0.547
6,,CTTROT20210330POL,Sggmrss,7,33884961020-3,,,,,,,,,26940,90,,368303,108000,,,29.590000152587891,,,,13,11,False,1600,0.674,False,0.547
6,,CTTROT20210330POL,Sggmrss,20,33884961049-2,,,,,,,,,27260,90,,368303,107600,,,29.590000152587891,,,,13,11,False,1600,0.674,False,0.547
6,,CTTROT20210330POL,Sggmrss,21,33884962390-9,,,,,,,,,26940,90,,368303,108000,,,29.590000152587891,,,,13,11,False,1600,0.674,False,0.547
6,4.5,CTTROT20210330POL,SGGMRS,8,37804963032-0,,,,,,,,,29000,90,,368303,104000,,,29.590000152587891,,,,13,11,False,1600,0.674,False,0.547
6,4.5,CTTROT20210330POL,SGGMRS,9,37804963035-3,,,,,,,,,29000,90,,368303,104000,,,29.590000152587891,,,,13,11,False,1600,0.674,False,0.547
6,4.5,CTTROT20210330POL,SGGMRS,16,37804963033-8,,,,,,,,,29000,90,,368303,104000,,,29.590000152587891,,,,13,11,False,1600,0.674,False,0.547
6,4.5,CTTROT20210330POL,SGGNS,23,37804952554-6,,,,,,,,,33000,90,,368303,87000,,,29.590000152587891,,,,13,11,False,1600,0.674,False,0.547
