NRAXES,MAXTEU,CALLCODE,WAGTYPE,WPOS,WAGON,UNNR,UNKLASSE,UNITWEIGHTNETT,UNITTYPE,UNITSEQUENCE,TRACK,TEUS,TERMINALWEIGHTNETT,TARE,SIZEFT,STARTPOSITION,SEQ,PAYLOAD,MOVETYPE,LOCATION,LEN,CONTAINERTARRA,CONTAINERNUMBER,COMPOUNDPOS,PRIOCONTAINER,PRIORITY
,,CTTROT20210227POL,,,,,,12738,40HC,2997902,,2,,,,,366925,,lader,CTTROT,,4200,SEGU 521023 0,,,
,,CTTROT20210227POL,,,,,,14088,40HC,2998041,,2,0,,,,366925,,lader,CTTROT,,4200,EISU 942625 5,OCC,,
,,CTTROT20210227POL,,,,,,15000,45PW,2998053,,2.25,,,,,366925,,lader,CTTROT,,4400,SANU 752914 5,,,
,,CTTROT20210227POL,,,,,,15068,40HC,2998039,,2,,,,,366925,,lader,CTTROT,,4200,OOLU 985274 6,,,
,,CTTROT20210227POL,,,,,,17334,20DV,2997998,,1,,,,,366925,,lader,CTTROT,,2300,TKRU 326736 1,,,
,,CTTROT20210227POL,,,,,,17334,20DV,2997999,,1,,,,,366925,,lader,CTTROT,,2300,TKRU 328147 8,,,
,,CTTROT20210227POL,,,,,,17948,20DV,2998016,,1,,,,,366925,,lader,CTTROT,,2300,MEDU 565772 6,,,
,,CTTROT20210227POL,,,,,,19140,45PW,2998045,,2.25,,,,,366925,,lader,CTTROT,,4400,SANU 740000 8,,,
,,CTTROT20210227POL,,,,,,19294,20TK,2998015,,1,,,,,366925,,lader,CTTROT,,4000,DHDU 168155 1,,,
,,CTTROT20210227POL,,,,,,22921,20DV,2998000,,1,,,,,366925,,lader,CTTROT,,2300,TRHU 185558 7,,,
,,CTTROT20210227POL,,,,,,23000,20TK,2997993,,1,,,,,366925,,lader,CTTROT,,4000,PCVU 288013 1,,,
,,CTTROT20210227POL,,,,,,23710,20TK,2998003,,1,,,,,366925,,lader,CTTROT,,4000,TCLU 901180 6,,,
,,CTTROT20210227POL,,,,,,24000,20TK,2997994,,1,0,,,,366925,,lader,CTTROT,,4000,EKCU 260616 0,49.10.3,,
,,CTTROT20210227POL,,,,,,24000,20TK,2997997,,1,,,,,366925,,lader,CTTROT,,4000,NWBU 010529 9,,,
,,CTTROT20210227POL,,,,,,24000,20TK,2998012,,1,,,,,366925,,lader,CTTROT,,4000,PCVU 260008 2,,,
,,CTTROT20210227POL,,,,,,24000,26TK,2998027,,1.3,,,,,366925,,lader,CTTROT,,4800,SAIU 641317 0,,,
,,CTTROT20210227POL,,,,,,24160,24TK,2998221,,1.2,25000,,,,366925,,lader,CTTROT,,4800,TWSU 271860 2,48.02.2,,
,,CTTROT20210227POL,,,,,,24420,24TK,2998397,,1.2,,,,,366925,,lader,CTTROT,,4800,FOTU 643203 5,,,
,,CTTROT20210227POL,,,,,,24500,22TK,2998018,,1.1,,,,,366925,,lader,CTTROT,,4800,EURU 861007 8,,,
,,CTTROT20210227POL,,,,,,24500,22TK,2998019,,1.1,,,,,366925,,lader,CTTROT,,4800,EXFU 879643 0,,,
,,CTTROT20210227POL,,,,,,25000,20TK,2998001,,1,,,,,366925,,lader,CTTROT,,4000,PCVU 260127 9,,,
,,CTTROT20210227POL,,,,,,25000,20TK,2998002,,1,0,,,,366925,,lader,CTTROT,,4000,EKCU 260604 6,50.09.2,,
,,CTTROT20210227POL,,,,,,25000,20TK,2998017,,1,,,,,366925,,lader,CTTROT,,4000,DHIU 184151 3,,,
,,CTTROT20210227POL,,,,,,25000,26TK,2998025,,1.3,,,,,366925,,lader,CTTROT,,4800,PAWU 350001 8,,,
,,CTTROT20210227POL,,,,,,25000,26TK,2998026,,1.3,,,,,366925,,lader,CTTROT,,4800,PAWU 350003 9,,,
,,CTTROT20210227POL,,,,,,25000,26TK,2998029,,1.3,27980,,,,366925,,lader,CTTROT,,4800,PAWU 310015 6,48.01.2,,
,,CTTROT20210227POL,,,,,,25500,20TK,2997995,,1,25950,,,,366925,,lader,CTTROT,,4000,NWBU 010524 1,09.01.3,,
,,CTTROT20210227POL,,,,,,25500,20TK,2997996,,1,24000,,,,366925,,lader,CTTROT,,4000,PCVU 261019 9,19.01.2,,
,,CTTROT20210227POL,,,,,,26060,20DV,2998006,,1,,,,,366925,,lader,CTTROT,,2300,CAIU 229409 8,,,
,,CTTROT20210227POL,,,,,,26060,20DV,2998007,,1,,,,,366925,,lader,CTTROT,,2300,TCKU 335523 7,,,
,,CTTROT20210227POL,,,,,,26060,20DV,2998008,,1,,,,,366925,,lader,CTTROT,,2300,CAXU 695595 8,,,
,,CTTROT20210227POL,,,,,,26060,20DV,2998009,,1,,,,,366925,,lader,CTTROT,,2300,TTNU 142566 7,,,
,,CTTROT20210227POL,,,,,,26060,20DV,2998010,,1,,,,,366925,,lader,CTTROT,,2300,TDTU 058258 0,,,
,,CTTROT20210227POL,,,,,,26760,30BU,2998030,,1.5,,,,,366925,,lader,CTTROT,,3300,BUKU 467414 9,,,
,,CTTROT20210227POL,,,,,,27000,20TK,2998004,,1,,,,,366925,,lader,CTTROT,,4000,EBCU 625052 7,,,
,,CTTROT20210227POL,,,,,,27000,24TK,2998217,,1.2,,,,,366925,,lader,CTTROT,,4800,TWSU 971071 1,,,
,,CTTROT20210227POL,,,,,,27000,26TK,2998022,,1.3,0,,,,366925,,lader,CTTROT,,4800,PCCU 352602 3,50.12.2,,
,,CTTROT20210227POL,,,,,,27000,26TK,2998023,,1.3,,,,,366925,,lader,CTTROT,,4800,TANU 351116 0,,,
,,CTTROT20210227POL,,,,,,27000,26TK,2998024,,1.3,,,,,366925,,lader,CTTROT,,4800,PCVU 935006 7,,,
,,CTTROT20210227POL,,,,,,27000,26TK,2998352,,1.3,,,,,366925,,lader,CTTROT,,4800,NWBU 103525 7,,,
,,CTTROT20210227POL,,,,,,28000,20TK,2998005,,1,,,,,366925,,lader,CTTROT,,4000,BIDU 496338 0,,,
,,CTTROT20210227POL,,,,,,28000,20TK,2998011,,1,,,,,366925,,lader,CTTROT,,4000,FOTU 122285 9,,,
,,CTTROT20210227POL,,,,,,28000,26TK,2998021,,1.3,,,,,366925,,lader,CTTROT,,4800,PCVU 350056 0,,,
,,CTTROT20210227POL,,,,,,28000,26TK,2998353,,1.3,,,,,366925,,lader,CTTROT,,4800,EXFU 877422 0,,,
,,CTTROT20210227POL,,,,,,28000,30BU,2998031,,1.5,,,,,366925,,lader,CTTROT,,3300,ABEU 590165 3,,,
,,CTTROT20210227POL,,,,,,30000,20TK,2998013,,1,28920,,,,366925,,lader,CTTROT,,4000,ABEU 260183 7,46.05.2,,
,,CTTROT20210227POL,SGGNS,14,33884961055-9,,,,,,,,,,,,366925,,,,,,,,,
,,CTTROT20210227POL,SGGRS,6,33884961517-8,,,,,,,,,,,,366925,,,,,,,,,
,,CTTROT20210227POL,SGGRSS,5,37804850156-3,,,,,,,,,,,,366925,,,,,,,,,
,,CTTROT20210227POL,SGMMNS,8,33684558413-3,,,,,,,,,,,,366925,,,,,,,,,
,,CTTROT20210227POL,SGNS,4,37804558980-1,,,,,,,,,,,,366925,,,,,,,,,
4,,CTTROT20210227POL,SGNS,3,37804557351-6,,,,,,,,,20000,60,,366925,60000,,,19.639999389648438,,,,,
4,,CTTROT20210227POL,Sgns60,1,37804556674-2,,,,,,,,,20000,60,,366925,70000,,,19.639999389648438,,,,,
4,,CTTROT20210227POL,Sgns60,9,37804556642-9,,,,,,,,,20000,60,,366925,70000,,,19.639999389648438,,,,,
4,,CTTROT20210227POL,Sgns60,10,31804557061-7,,,,,,,,,20000,60,,366925,72000,,,19.639999389648438,,,,,
4,,CTTROT20210227POL,Sgns60,11,33684556902-7,,,,,,,,,20000,60,,366925,70000,,,19.639999389648438,,,,,
4,,CTTROT20210227POL,Sgns60,18,31804557045-0,,,,,,,,,20000,60,,366925,72000,,,19.639999389648438,,,,,
4,,CTTROT20210227POL,Sgns60,20,33684556908-4,,,,,,,,,20000,60,,366925,70000,,,19.639999389648438,,,,,
4,,CTTROT20210227POL,Sgns60,22,37804557994-3,,,,,,,,,20000,60,,366925,70000,,,19.639999389648438,,,,,
4,,CTTROT20210227POL,SGNSS,21,31804557843-8,,,,,,,,,20000,60,,366925,70000,,,19.639999389648438,,,,,
4,,CTTROT20210227POL,SGNSS,23,37804557177-5,,,,,,,,,20000,60,,366925,70000,,,19.639999389648438,,,,,
6,,CTTROT20210227POL,SGGMRS,2,37804953046-2,,,,,,,,,29000,90,,366925,94000,,,29.590000152587891,,,,,
6,,CTTROT20210227POL,Sggmrss,7,33884961566-5,,,,,,,,,27300,90,,366925,108000,,,29.590000152587891,,,,,
6,,CTTROT20210227POL,Sggmrss,12,33884962416-2,,,,,,,,,26940,90,,366925,107600,,,29.590000152587891,,,,,
6,,CTTROT20210227POL,Sggmrss,13,33884961166-4,,,,,,,,,27240,90,,366925,107700,,,29.590000152587891,,,,,
6,,CTTROT20210227POL,Sggmrss,15,33884962434-5,,,,,,,,,26920,90,,366925,107600,,,29.590000152587891,,,,,
6,,CTTROT20210227POL,Sggmrss,16,33884961176-3,,,,,,,,,27260,90,,366925,107700,,,29.590000152587891,,,,,
6,,CTTROT20210227POL,Sggmrss,17,33884961423-9,,,,,,,,,27260,90,,366925,107700,,,29.590000152587891,,,,,
6,,CTTROT20210227POL,Sggmrss,19,33884961383-5,,,,,,,,,27300,90,,366925,108000,,,29.590000152587891,,,,,
