"1859122","DHDU 208812 9","20TK","07.10.3","3/02/2021 10:18","$HARTGL"
"1859126","DHDU 208809 4","20TK","07.10.2","3/02/2021 10:17","$HARTGL"
"1859138","DHIU 205047 7","23TK","41.13.2","4/02/2021 19:19","$HARTRO"
"1859166","GMCU 715505 0","20TK","24.09.3","4/02/2021 13:25","$SCHEPA"
"1859249","PCVU 288005 0","20TK","28.13.1","5/02/2021 16:19","$PCCGDY"
"1859257","EXFU 877416 9","26TK","18.15.1","4/02/2021 10:43","$PCCGDY"
"1859264","MEBU 331066 4","23TK","08.04.1","4/02/2021 19:16","$PCCGDY"
"1859268","MEBU 330005 4","23TK","08.04.2","4/02/2021 19:18","$PCCGDY"
"1859378","VTGU 995078 9","23TK","19.14.2","9/02/2021 10:59","$VOTGHA"
"1859380","VTGU 995077 3","23TK","18.14.1","3/02/2021 6:26","$VOTGHA"
"1859430","TLLU 158624 8","45PW","51.04.2","9/02/2021 9:12","$PCCGDY"
"1859461","TLLU 158645 9","45PW","37.03.1","9/02/2021 9:41","$PCCGDY"
"1859469","EURU 117180 0","20TK","08.17.2","6/02/2021 17:14","$BTTMAI"
"1859490","TLLU 158629 5","45PW","51.05.3","9/02/2021 9:13","$PCCGDY"
"1859617","UTCU 490340 6","20TK","32.05.2","3/02/2021 9:22","$BDPHEX"
"1859632","HOTU 160987 6","20TK","37.09.3","6/02/2021 17:37","$BDPHEX"
"1859679","EKCU 263495 8","20TK","04.09.2","5/02/2021 10:50","$BOSCER"
"1859724","RZDU 300840 5","20DV","31.03.1","8/02/2021 19:16","$PCCGDY"
"1859725","RZDU 300903 7","20DV","21.03.2","8/02/2021 8:35","$PCCGDY"
"1859729","RZDU 301684 3","20DV","31.02.2","5/02/2021 22:31","$PCCGDY"
"1859748","TKRU 302002 6","20DV","11.02.3","9/02/2021 6:57","$PCCGDY"
"1859753","TKRU 302755 0","20DV","35.02.2","5/02/2021 8:44","$PCCGDY"
"1859755","TKRU 302985 1","20DV","26.03.1","5/02/2021 8:59","$PCCGDY"
"1859756","TKRU 308189 1","20DV","26.03.2","5/02/2021 9:02","$PCCGDY"
"1859758","TKRU 312193 1","20DV","35.03.1","5/02/2021 8:47","$PCCGDY"
"1859759","TKRU 315046 2","20DV","35.03.2","5/02/2021 8:59","$PCCGDY"
"1859762","TKRU 319720 1","20DV","32.02.1","5/02/2021 9:03","$PCCGDY"
"1859765","BGBU 513458 8","20TK","32.09.3","5/02/2021 15:46","$SCHEPA"
"1859802","DHIU 184511 8","26TK","12.15.1","4/02/2021 7:32","$HARTRO"
"1859807","EXFU 879244 0","26TK","07.14.2","5/02/2021 10:31","$HARTRO"
"1859817","MEBU 333060 8","23TK","08.03.1","6/02/2021 16:43","$SHUTRO"
"1859828","FOTU 143422 5","26TK","41.12.2","6/02/2021 11:07","$PCCGDY"
"1859978","BGBU 515094 8","20TK","21.13.3","8/02/2021 15:14","$BDPMOM"
"1859979","EURU 115702 0","20TK","46.09.2","3/02/2021 7:58","$BDPMOM"
"1859980","EURU 115711 8","20TK","20.13.3","3/02/2021 7:41","$BDPMOM"
"1859981","EURU 115817 7","20TK","20.12.3","3/02/2021 8:25","$BDPMOM"
"1859982","EURU 115848 0","20TK","19.13.4","3/02/2021 8:17","$BDPMOM"
"1859983","EURU 115859 9","20TK","20.12.2","3/02/2021 8:12","$BDPMOM"
"1859984","EURU 115872 6","20TK","19.13.3","3/02/2021 8:07","$BDPMOM"
"1859985","EURU 115873 1","20TK","19.12.1","3/02/2021 8:04","$BDPMOM"
"1859986","EURU 115876 8","20TK","19.13.1","3/02/2021 7:45","$BDPMOM"
