Partner-Ref;Referenz;Waggon-Nr.;BU;Auftrag;Ladedatum;Container #;Turn-Out;Seeschiff;Ladest.;TEU;Termin;CTyp;Reeder;C-Gross;C-Netto;Cls;VP;Warenbezeichnung;GG-Bez.;ETA;Ladestelle;Entladest.;Zollagent;T1#
AANWEZIG CTT;;;BSL;1210101162;12/02/2021;OOCU6984995;10994531;CMA CGM SCANDOLA;CTT Rotterdam BV, Rotterdam;2;10/02/2021;40HC;Cosco Container Lines Europe GmbH, Hong Kong;6.088,00;2088;72;Packstücke;Furnitures;;23/01/2021;CTT Rotterdam BV, Rotterdam;UBF Basel, Weil am Rhein;KGH Customs Service, Barendrecht;21NL00051013E2F120
AANWEZIG CTT;;;BSL;1210101163;12/02/2021;MSKU7425682;536391;MOSCOW MAERSK;CTT Rotterdam BV, Rotterdam;1;10/02/2021;20DV;Maersk, Rotterdam;6.269,00;4069;445;Packstücke;Badezimmerartikel;;01/02/2021;CTT Rotterdam BV, Rotterdam;UBF Basel, Weil am Rhein;Fremd T1;21NL00051013E8AE08
AANWEZIG CTT;;;BSL;1210101236;12/02/2021;MSKU5622960;3729093;MOSCOW MAERSK;CTT Rotterdam BV, Rotterdam;1;10/02/2021;20DV;Hamburg Süd Nederland, Rotterdam;8.288,10;6088.1;373;Kartons;STUDIO STAND AND ACCESSORIES;;01/02/2021;CTT Rotterdam BV, Rotterdam;UBF Basel, Weil am Rhein;KGH Customs Service, Barendrecht;21NL00051013DAE0A7
AANWEZIG CTT;;;BSL;1210101458;12/02/2021;DFSU2474234;114RT2H83305;MOSCOW MAERSK;CTT Rotterdam BV, Rotterdam;1;10/02/2021;20DV;MSC S.A. c/o MSC Belgium N.V., Antwerpen;22.328,00;20128;7200;Paletten;PLASTIC PACKS OF SCLICES, TRAYS OF SLICES AND OF CHUNK;;01/02/2021;CTT Rotterdam BV, Rotterdam;UBF Basel, Weil am Rhein;KGH Customs Service, Barendrecht;21NL00051013DAE0F6
AANWEZIG CTT;;;BSL;1210101486;12/02/2021;UETU4152805;JKCJF23;AFIF;CTT Rotterdam BV, Rotterdam;2;10/02/2021;40DV;Ocean Network Express Netherlands, Rotterdam;6.532,00;2532;20;Paletten;PRINTED CIRCUIT BOARD ASSEMBLY (PCB);;21/01/2021;CTT Rotterdam BV, Rotterdam;UBF Basel, Weil am Rhein;KGH Customs Service, Barendrecht;21NL00051013DAE7D3
AANWEZIG CTT;;;BSL;1210101491;12/02/2021;NYKU9703148;PHZCJAV;AFIF;CTT Rotterdam BV, Rotterdam;1;10/02/2021;20DV;Ocean Network Express Netherlands, Rotterdam;7.947,00;5747;21;Paletten;SKC BRUSHLESS MOTORS;;21/01/2021;CTT Rotterdam BV, Rotterdam;UBF Basel, Weil am Rhein;KGH Customs Service, Barendrecht;21NL00051013DAE7E1
AANWEZIG CTT;;;BSL;1210101506;12/02/2021;SEGU6956409;1E3XXQPDCP;ONE IBIS;CTT Rotterdam BV, Rotterdam;2;10/02/2021;40HC;Hapag Lloyd, Rotterdam;10.560,00;6560;296;Packstücke;USED HOUSEHOLD GOODS;;25/01/2021;CTT Rotterdam BV, Rotterdam;UBF Basel, Weil am Rhein;KGH Customs Service, Barendrecht;21NL00051013DAE725
AANWEZIG CTT;;;BSL;1210101714;12/02/2021;UACU5513718;1T4LN73N7Q;HMM LE HAVRE;CTT Rotterdam BV, Rotterdam;2;10/02/2021;40HC;Hapag Lloyd, Rotterdam;21.211,90;17211.9;1892;Kartons;ELECTRIC CONNECTION;;20/01/2021;CTT Rotterdam BV, Rotterdam;UBF Basel, Weil am Rhein;KGH Customs Service, Barendrecht;21NL00051013DAE824
AANWEZIG CTT;;;BSL;1210102165;12/02/2021;FFAU1437852;15AZJU9;HMM ST PETERSBURG;CTT Rotterdam BV, Rotterdam;2;10/02/2021;40HC;Ocean Network Express Netherlands, Rotterdam;18.612,03;14612.03;1614;Packstücke;Consolidated Cargo;;31/01/2021;CTT Rotterdam BV, Rotterdam;UBF Basel, Weil am Rhein;KGH Customs Service, Barendrecht;21NL00051013E2F147
AANWEZIG CTT;;;BSL;1210103497;12/02/2021;TGHU9352530;U8VJ548X;MSC EMMA;CTT Rotterdam BV, Rotterdam;2;10/02/2021;40HC;MSC S.A. c/o MSC Belgium N.V., Antwerpen;14.203,78;10203.78;832;Kartons;BEDSETS;;30/01/2021;CTT Rotterdam BV, Rotterdam;UBF Basel, Weil am Rhein;KGH Customs Service, Barendrecht;21NL00051013DAE776
